drugbank_id,drug_name
DB00001,lepirudin
DB00002,cetuximab
DB00003,dornase alfa
DB00004,denileukin diftitox
DB00005,etanercept
DB00006,bivalirudin
DB00007,leuprolide
DB00008,peginterferon alfa-2a
DB00009,alteplase
DB00010,sermorelin
DB00011,interferon alfa-n1
DB00012,darbepoetin alfa
DB00013,urokinase
DB00014,goserelin
DB00015,reteplase
DB00016,erythropoietin
DB00017,salmon calcitonin
DB00018,interferon alfa-n3
DB00019,pegfilgrastim
DB00020,sargramostim
DB00022,peginterferon alfa-2b
DB00023,asparaginase escherichia coli
DB00024,thyrotropin alfa
DB00025,"antihemophilic factor, human recombinant"
DB00026,anakinra
DB00027,gramicidin d
DB00028,human immunoglobulin g
DB00029,anistreplase
DB00030,insulin human
DB00031,tenecteplase
DB00032,menotropins
DB00033,interferon gamma-1b
DB00034,interferon alfa-2a
DB00035,desmopressin
DB00036,coagulation factor viia recombinant human
DB00038,oprelvekin
DB00039,palifermin
DB00040,glucagon
DB00041,aldesleukin
DB00042,botulinum toxin type b
DB00043,omalizumab
DB00044,lutropin alfa
DB00045,lyme disease vaccine (recombinant ospa)
DB00046,insulin lispro
DB00047,insulin glargine
DB00048,collagenase clostridium histolyticum
DB00049,rasburicase
DB00050,cetrorelix
DB00051,adalimumab
DB00052,somatotropin
DB00053,imiglucerase
DB00054,abciximab
DB00055,drotrecogin alfa
DB00056,gemtuzumab ozogamicin
DB00057,indium in-111 satumomab pendetide
DB00058,alpha-1-proteinase inhibitor
DB00059,pegaspargase
DB00060,interferon beta-1a
DB00061,pegademase
DB00062,albumin human
DB00063,eptifibatide
DB00065,infliximab
DB00066,follitropin
DB00067,vasopressin
DB00068,interferon beta-1b
DB00069,interferon alfacon-1
DB00070,hyaluronidase (ovine)
DB00071,insulin pork
DB00072,trastuzumab
DB00073,rituximab
DB00074,basiliximab
DB00075,muromonab
DB00076,digoxin immune fab (ovine)
DB00078,ibritumomab tiuxetan
DB00080,daptomycin
DB00081,tositumomab
DB00082,pegvisomant
DB00083,botulinum toxin type a
DB00085,pancrelipase
DB00086,streptokinase
DB00087,alemtuzumab
DB00088,alglucerase
DB00089,capromab pendetide
DB00090,laronidase
DB00091,cyclosporine
DB00092,alefacept
DB00093,felypressin
DB00094,urofollitropin
DB00095,efalizumab
DB00097,choriogonadotropin alfa
DB00098,antithymocyte immunoglobulin (rabbit)
DB00099,filgrastim
DB00100,coagulation factor ix (recombinant)
DB00102,becaplermin
DB00103,agalsidase beta
DB00104,octreotide
DB00105,interferon alfa-2b
DB00106,abarelix
DB00107,oxytocin
DB00108,natalizumab
DB00109,enfuvirtide
DB00110,palivizumab
DB00111,daclizumab
DB00112,bevacizumab
DB00113,technetium tc-99m arcitumomab
DB00114,pyridoxal phosphate
DB00115,cyanocobalamin
DB00116,tetrahydrofolic acid
DB00117,histidine
DB00118,ademetionine
DB00119,pyruvic acid
DB00120,phenylalanine
DB00121,biotin
DB00122,choline
DB00123,lysine
DB00125,arginine
DB00126,ascorbic acid
DB00127,spermine
DB00128,aspartic acid
DB00129,ornithine
DB00130,l-glutamine
DB00131,adenosine phosphate
DB00132,alpha-linolenic acid
DB00133,serine
DB00134,methionine
DB00135,tyrosine
DB00136,calcitriol
DB00137,lutein
DB00138,cystine
DB00139,succinic acid
DB00140,riboflavin
DB00141,n-acetylglucosamine
DB00142,glutamic acid
DB00143,glutathione
DB00144,phosphatidyl serine
DB00145,glycine
DB00146,calcifediol
DB00147,pyridoxal
DB00148,creatine
DB00149,leucine
DB00150,tryptophan
DB00151,cysteine
DB00152,thiamine
DB00153,ergocalciferol
DB00154,daleuton
DB00155,citrulline
DB00156,threonine
DB00157,nadh
DB00158,folic acid
DB00159,icosapent
DB00160,alanine
DB00161,valine
DB00162,vitamin a
DB00163,vitamin e
DB00165,pyridoxine
DB00166,lipoic acid
DB00167,isoleucine
DB00168,aspartame
DB00169,cholecalciferol
DB00170,menadione
DB00171,atp
DB00172,proline
DB00173,adenine
DB00174,asparagine
DB00175,pravastatin
DB00176,fluvoxamine
DB00177,valsartan
DB00178,ramipril
DB00179,masoprocol
DB00180,flunisolide
DB00181,baclofen
DB00182,amphetamine
DB00183,pentagastrin
DB00184,nicotine
DB00185,cevimeline
DB00186,lorazepam
DB00187,esmolol
DB00188,bortezomib
DB00189,ethchlorvynol
DB00190,carbidopa
DB00191,phentermine
DB00192,indecainide
DB00193,tramadol
DB00194,vidarabine
DB00195,betaxolol
DB00196,fluconazole
DB00197,troglitazone
DB00198,oseltamivir
DB00199,erythromycin
DB00200,hydroxocobalamin
DB00201,caffeine
DB00202,succinylcholine
DB00203,sildenafil
DB00204,dofetilide
DB00205,pyrimethamine
DB00206,reserpine
DB00207,azithromycin
DB00208,ticlopidine
DB00209,trospium
DB00210,adapalene
DB00211,midodrine
DB00212,remikiren
DB00213,pantoprazole
DB00214,torasemide
DB00215,citalopram
DB00216,eletriptan
DB00217,bethanidine
DB00218,moxifloxacin
DB00219,oxyphenonium
DB00220,nelfinavir
DB00221,isoetharine
DB00222,glimepiride
DB00223,diflorasone
DB00224,indinavir
DB00225,gadodiamide
DB00226,guanadrel
DB00227,lovastatin
DB00228,enflurane
DB00229,cefotiam
DB00230,pregabalin
DB00231,temazepam
DB00232,methyclothiazide
DB00233,aminosalicylic acid
DB00234,reboxetine
DB00235,milrinone
DB00236,pipobroman
DB00237,butabarbital
DB00238,nevirapine
DB00239,oxiconazole
DB00240,alclometasone
DB00241,butalbital
